Date,open,high,low,close
4/29/14,2733.637,2770.082,2733.025,2770.012
4/30/14,2769.1,2786.594,2764.727,2782.726
5/5/14,2776.954,2796.732,2760.915,2795.583
5/6/14,2791.271,2820.467,2789.26,2805.43
5/7/14,2797.577,2797.577,2768.046,2768.451
5/8/14,2760.924,2804.919,2756.861,2768.014
5/9/14,2768.534,2770.666,2734.412,2752.848
5/12/14,2771.016,2815.313,2760.995,2814.106
5/13/14,2812.894,2821.242,2799.472,2809.571
5/14/14,2808.513,2819.053,2801.68,2807.937
5/15/14,2803.7,2805.638,2761.654,2763.497
5/16/14,2759.838,2765.798,2735.871,2760.306
5/19/14,2754.181,2754.181,2718.356,2734.654
5/20/14,2746.565,2762.395,2734.611,2740.789
5/21/14,2732.223,2765.505,2715.377,2765.505
5/22/14,2764.909,2796.39,2761.677,2763.344
5/23/14,2761.887,2789.855,2758.955,2789.855
5/26/14,2802.056,2812.595,2799.382,2812.252
5/27/14,2810.574,2816.16,2799.433,2801.61
5/28/14,2801.489,2834.581,2796.647,2833.387
5/29/14,2834.341,2841.777,2807.721,2807.799
5/30/14,2806.908,2822.206,2793.024,2812.155
6/3/14,2813.418,2826.135,2805.605,2805.939
6/4/14,2803.991,2804.05,2763.154,2781.954
6/5/14,2778.758,2814.583,2775.86,2814.325
6/6/14,2813.535,2815.242,2785.945,2800.262
6/9/14,2793.045,2815.69,2789.388,2791.165
6/10/14,2794.714,2826.11,2784.728,2826.066
6/11/14,2821.622,2836.263,2818.403,2834.224
6/12/14,2828.894,2836.93,2819.339,2827.937
6/13/14,2824.608,2862.492,2823.726,2858.132
6/16/14,2859.407,2880.376,2859.111,2877.473
6/17/14,2871.635,2871.635,2848.952,2850.275
6/18/14,2849.097,2852.728,2832.939,2834.033
6/19/14,2833.114,2839.205,2761.367,2773.126
6/20/14,2770.32,2793.513,2767.32,2793.449
6/23/14,2795.44,2816.065,2795.44,2806.457
6/24/14,2804.613,2823.374,2804.078,2823.209
6/25/14,2820.016,2820.016,2798.815,2809.014
6/26/14,2809.968,2842.006,2809.824,2839.676
6/27/14,2837.993,2863.267,2831.084,2851.294
6/30/14,2854.278,2875.739,2853.206,2875.344
7/1/14,2879.438,2884.481,2870.11,2884.265
7/2/14,2884.039,2897.976,2872.351,2897.535
7/3/14,2896.049,2920.451,2889.714,2914.799
7/4/14,2914.738,2918.479,2904.729,2911.076
7/7/14,2910.992,2919.854,2897.159,2909.615
7/8/14,2907.46,2923.967,2889.228,2923.688
7/9/14,2919.829,2924.844,2880.088,2880.613
7/10/14,2877.93,2891.238,2872.575,2876.897
7/11/14,2871.543,2899.321,2869.945,2892.868
7/14/14,2895.303,2927.801,2891.417,2927.797
7/15/14,2926.018,2930.866,2908.715,2925.128
7/16/14,2921.746,2932.474,2898.602,2907.06
7/17/14,2901.945,2901.95,2874.206,2890.516
7/18/14,2879.721,2912.349,2876.682,2897.002
7/21/14,2895.912,2903.365,2883.085,2894.517
7/22/14,2890.088,2933.683,2889.794,2931.31
7/23/14,2930.594,2943.631,2908.909,2919.56
7/24/14,2919.042,2942.091,2907.207,2938.45
7/25/14,2941.489,2967.133,2938.727,2967.133
7/28/14,2979.446,3036.49,2979.446,3035.288
7/29/14,3038.418,3067.963,3029.414,3057.031
7/30/14,3050.471,3065.867,3043.686,3058.965
7/31/14,3058.211,3089.15,3052.808,3089.054
8/1/14,3078.888,3106.616,3057.098,3058.653
8/4/14,3064.62,3111.217,3062.887,3111.217
8/5/14,3113.197,3119.191,3093.209,3118.932
8/6/14,3108.274,3130.328,3087.57,3122.618
8/7/14,3122.245,3132.688,3084.915,3086.341
8/8/14,3088.346,3108.378,3083.876,3100.805
8/11/14,3107.736,3146.911,3107.736,3146.767
8/12/14,3144.514,3150.258,3132.373,3150.046
8/13/14,3150.393,3161.167,3116.337,3151.462
8/14/14,3149.101,3164.705,3126.754,3129.168
8/15/14,3130.381,3167.031,3125.211,3162.779
8/18/14,3169.733,3196.869,3169.733,3196.869
8/19/14,3202.433,3208.556,3181.499,3203.565
8/20/14,3201.383,3211.621,3188.396,3197.243
8/21/14,3197.978,3199.901,3159.206,3192.984
8/22/14,3191.126,3216.079,3188.015,3212.504
8/25/14,3213.648,3213.979,3178.564,3186.192
8/26/14,3180.444,3191.684,3132.867,3143.266
8/27/14,3141.414,3162.27,3141.414,3153.167
8/28/14,3154.103,3162.477,3122.903,3128.228
8/29/14,3130.382,3163.465,3126.054,3163.416
9/1/14,3167.331,3204.654,3167.121,3204.555
9/2/14,3211.782,3249.981,3205.924,3249.981
9/3/14,3255.108,3280.851,3255.044,3277.319
9/4/14,3280.388,3304.756,3270.944,3304.756
9/5/14,3311.379,3327.327,3299.105,3326.792
9/9/14,3330.76,3339.327,3309.669,3336.276
9/10/14,3325.228,3341.435,3310.12,3337.427
9/11/14,3336.046,3376.961,3314.718,3330.679
9/12/14,3326.118,3361.658,3319.717,3361.658
9/15/14,3359.112,3381.742,3349.352,3379.947
9/16/14,3382.963,3387.255,3287.989,3289.848
9/17/14,3294.426,3312.277,3266.778,3311.88
9/18/14,3306.822,3332.274,3298.846,3329.809
9/19/14,3330.954,3361.333,3323.062,3358.104
9/22/14,3352.291,3352.291,3300.746,3308.434
9/23/14,3308.465,3346.371,3308.4,3345.852
9/24/14,3338.229,3397.437,3331.248,3396.849
9/25/14,3409,3427.73,3384.081,3394.836
9/26/14,3387.681,3404.137,3376.054,3403.216
9/29/14,3413.259,3430.208,3411.418,3428.748
9/30/14,3434.785,3447.764,3425.928,3444.717
10/8/14,3456.95,3489.708,3438.892,3489.708
10/9/14,3493.706,3504.711,3459.298,3499.159
10/10/14,3487.588,3500.812,3465.02,3482.063
10/13/14,3469.414,3474.906,3430.001,3474.642
10/14/14,3469.845,3496.127,3446.506,3464.743
10/15/14,3462.881,3483.745,3437.278,3483.46
10/16/14,3464.319,3501.607,3442.783,3442.783
10/17/14,3437.221,3451.956,3365.735,3419.324
10/20/14,3426.846,3454.636,3422.269,3454.636
10/21/14,3453.285,3462.507,3422.823,3425.041
10/22/14,3425.153,3441.741,3391.426,3393.293
10/23/14,3386.275,3398.386,3338.954,3348.922
10/24/14,3350.257,3370.649,3340.659,3350.71
10/27/14,3337.394,3352.83,3318.639,3351.835
10/28/14,3358.666,3429.624,3358.666,3429.542
10/29/14,3439.399,3489.182,3431.972,3477.859
10/30/14,3477.158,3498.929,3468.475,3489.96
10/31/14,3494.697,3512.216,3470.554,3510.72
11/3/14,3517.899,3538.25,3513.57,3533.408
11/4/14,3532.135,3538.932,3508.769,3523.298
11/5/14,3524.351,3528.562,3503.039,3515.16
11/6/14,3514.953,3531.935,3491.157,3531.785
11/7/14,3535.465,3563.736,3496.51,3511.744
11/10/14,3532.91,3566.396,3516.7,3566.396
11/11/14,3577.065,3586.469,3468.606,3499.258
11/12/14,3485.2,3552.151,3477.794,3552.151
11/13/14,3553.324,3559.136,3500.587,3519.254
11/14/14,3505.293,3517.21,3486.354,3514.632
11/17/14,3539.456,3555.652,3504.862,3528.758
11/18/14,3525.598,3536.611,3507.467,3519.918
11/19/14,3517.771,3542.671,3514.675,3529.697
